Station_Title,Subway_Num,Operation,Station,x,y
布吉,5,1,布吉地铁站,0.77247191,0.639312977
长龙,5,1,长龙地铁站,0.745786517,0.639312977
下水径,5,1,下水径地铁站,0.719101124,0.639312977
上水径,5,1,上水径地铁站,0.693820225,0.639312977
杨美,5,1,杨美地铁站,0.665730337,0.639312977
坂田,5,1,坂田地铁站,0.639044944,0.639312977
五和,5,1,五和地铁站,0.613764045,0.639312977
民治,5,1,民治地铁站,0.585674157,0.639312977
深圳北站,5,1,深圳北站地铁站,0.55758427,0.639312977
长岭陂,5,1,长岭陂地铁站,0.519662921,0.639312977
塘朗,5,1,塘朗地铁站,0.488764045,0.639312977
大学城,5,1,大学城地铁站,0.457865169,0.639312977
西丽,5,1,西丽地铁站,0.405898876,0.639312977
留仙洞,5,1,留仙洞地铁站,0.369382022,0.639312977
兴东,5,1,兴东地铁站,0.33988764,0.639312977
洪浪北,5,1,洪浪北地铁站,0.296348315,0.625954198
灵芝,5,1,灵芝地铁站,0.25,0.559160305
翻身,5,1,翻身地铁站,0.196629213,0.488549618
宝安中心,5,1,宝安中心地铁站,0.141853933,0.414122137
宝华,5,1,宝华地铁站,0.103932584,0.36259542
临海,5,1,临海地铁站,0.110955056,0.339694656
前海湾,5,1,前海湾地铁站,0.141853933,0.33778626
西丽湖,7,1,西丽湖地铁站,0.435393258,0.679389313
西丽,7,1,西丽地铁站,0.407303371,0.639312977
茶光,7,1,茶光地铁站,0.382022472,0.606870229
珠光,7,1,珠光地铁站,0.373595506,0.564885496
龙井,7,1,龙井地铁站,0.373595506,0.528625954
桃源村,7,1,桃源村地铁站,0.373595506,0.490458015
深云,7,1,深云地铁站,0.375,0.452290076
安托山,7,1,安托山地铁站,0.375,0.393129771
农林,7,1,农林地铁站,0.431179775,0.351145038
车公庙,7,1,车公庙地铁站,0.460674157,0.339694656
上沙,7,1,上沙地铁站,0.476123596,0.276717557
沙尾,7,1,沙尾地铁站,0.497191011,0.276717557
石厦,7,1,石厦地铁站,0.528089888,0.27480916
皇岗村,7,1,皇岗村地铁站,0.54494382,0.276717557
福民,7,1,福民地铁站,0.561797753,0.27480916
皇岗口岸,7,1,皇岗口岸地铁站,0.60252809,0.238549618
赤尾,7,1,赤尾地铁站,0.641853933,0.267175573
华强南,7,1,华强南地铁站,0.641853933,0.314885496
华强北,7,1,华强北地铁站,0.641853933,0.393129771
华新,7,1,华新地铁站,0.641853933,0.452290076
黄木岗,7,1,黄木岗地铁站,0.653089888,0.509541985
八卦岭,7,1,八卦岭地铁站,0.683988764,0.534351145
红岭北,7,1,红岭北地铁站,0.709269663,0.534351145
笋岗,7,1,笋岗地铁站,0.733146067,0.534351145
洪湖,7,1,洪湖地铁站,0.751404494,0.534351145
田贝,7,1,田贝地铁站,0.77247191,0.534351145
太安,7,1,太安地铁站,0.831460674,0.473282443
红树湾南,9,1,红树湾南地铁站,0.289325843,0.267175573
深湾,9,1,深湾地铁站,0.345505618,0.265267176
深圳湾公园,9,1,深圳湾公园地铁站,0.386235955,0.265267176
下沙,9,1,下沙地铁站,0.43258427,0.265267176
车公庙,9,1,车公庙地铁站,0.459269663,0.339694656
香梅,9,1,香梅地铁站,0.459269663,0.370229008
景田,9,1,景田地铁站,0.459269663,0.393129771
梅景,9,1,梅景地铁站,0.459269663,0.494274809
下梅林,9,1,下梅林地铁站,0.485955056,0.534351145
梅村,9,1,梅村地铁站,0.515449438,0.534351145
上梅林,9,1,上梅林地铁站,0.55758427,0.534351145
孖岭,9,1,孖岭地铁站,0.599719101,0.534351145
银湖,9,1,银湖地铁站,0.654494382,0.59351145
泥岗,9,1,泥岗地铁站,0.698033708,0.59351145
红岭北,9,1,红岭北地铁站,0.707865169,0.534351145
园岭,9,1,园岭地铁站,0.707865169,0.501908397
红岭,9,1,红岭地铁站,0.709269663,0.452290076
红岭南,9,1,红岭南地铁站,0.707865169,0.358778626
鹿丹村,9,1,鹿丹村地铁站,0.716292135,0.291984733
人民南,9,1,人民南地铁站,0.75,0.290076336
向西村,9,1,向西村地铁站,0.810393258,0.309160305
文锦,9,1,文锦地铁站,0.810393258,0.353053435
福田,11,1,福田地铁站,0.526685393,0.393129771
车公庙,11,1,车公庙地铁站,0.460674157,0.339694656
红树湾南,11,1,红树湾南地铁站,0.289325843,0.278625954
后海,11,1,后海地铁站,0.240168539,0.230916031
南山,11,1,南山地铁站,0.175561798,0.291984733
前海湾,11,1,前海湾地铁站,0.140449438,0.33778626
宝安,11,1,宝安地铁站,0.087078652,0.429389313
碧海湾,11,1,碧海湾地铁站,0.085674157,0.519083969
机场,11,1,机场地铁站,0.087078652,0.616412214
机场北,11,1,机场北地铁站,0.113764045,0.658396947
福永,11,1,福永地铁站,0.136235955,0.683206107
桥头,11,1,桥头地铁站,0.157303371,0.70610687
塘尾,11,1,塘尾地铁站,0.183988764,0.75
马安山,11,1,马安山地铁站,0.183988764,0.791984733
沙井,11,1,沙井地铁站,0.183988764,0.835877863
后亭,11,1,后亭地铁站,0.183988764,0.879770992
松岗,11,1,松岗地铁站,0.183988764,0.921755725
碧头,11,1,碧头地铁站,0.183988764,0.965648855
